CONTENTS,STATE,GROUP,YEAR,SUB,POP,AGENCY,OFFENSE,OCCUR,MALE0_9,MALE10_12,MALE13_14,MALE15,MALE16,MALE17,MALE18,MALE19,MALE20,MALE21,MALE22,MALE23,MALE24,MALE25_29,MALE30_34,MALE35_39,MALE40_44,MALE45_49,MALE50_54,MALE55_59,MALE60_64,MALE65,ADULT_WHITE,ADULT_BLACK,ADULT_INDIAN,ADULT_ASIAN,JUVENILE_WHITE,JUVENILE_BLACK,JUVENILE_INDIAN,JUVENILE_ASIAN,ADULT_HISPANIC,ADULT_NONHISPANIC,JUVENILE_HISPANIC,JUVENILE_NONHISPANIC,TOTAL,MALE_TOTAL,FEMALE_TOTAL,ADULT_MALE,ADULT_FEMALE,JUVENILE_MALE,JUVENILE_FEMALE,ADULT_TOTAL,JUVENILE_TOTAL,10_14years ,15-19years ,20-24years ,Gender 
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Gambling (total),24,0,0,6,5,15,18,39,42,25,22,27,36,29,89,44,19,15,11,5,5,1,1,2,410,0,0,0,44,0,0,0,0,0,0,456,456,2,412,2,0,0,438,44,6,119,139,Male
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Offenses against family and children,36,0,1,0,0,1,2,2,2,2,2,1,2,1,10,14,4,1,1,2,0,1,0,36,82,2,0,2,3,0,0,0,0,0,0,125,125,76,120,75,0,1,123,5,1,7,8,Male
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Driving under the influence,41,0,0,0,1,3,2,13,20,49,45,66,64,66,444,350,294,224,178,131,84,55,36,1569,948,2,33,7,0,0,0,0,0,0,0,2559,2559,434,2552,433,0,1,2556,7,0,39,290,Male
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Liquor laws,21,0,0,4,3,8,10,17,15,15,0,0,0,0,0,2,0,0,1,1,0,0,0,45,17,0,0,23,2,0,0,0,0,0,0,87,87,11,62,11,0,0,77,25,4,53,15,Male
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Disorderly conduct,49,0,6,83,131,169,182,139,101,77,106,118,112,89,370,331,227,144,160,141,103,36,14,920,1575,5,11,183,610,0,2,0,0,0,0,3306,3306,467,2511,243,0,224,3079,795,89,722,502,Male
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,All other non-traffic offenses,49,0,23,155,191,260,294,328,327,340,369,417,381,315,1317,821,615,442,447,398,308,138,62,1882,5966,3,58,230,817,0,11,0,0,0,0,8967,8967,1019,7909,884,0,135,8628,1058,178,1400,1822,Male
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Murder and non-negligent manslaughter,40,0,0,2,7,10,17,16,9,12,14,23,16,11,41,27,14,12,5,4,5,1,1,43,189,2,0,8,32,0,0,0,0,0,0,274,274,27,234,23,0,4,256,40,2,59,76,Male
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Manslaughter by negligence,10,0,0,0,0,0,1,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,0,6,1,0,0,1,0,0,0,0,0,0,0,8,8,1,7,1,0,0,7,1,0,1,2,Male
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Forcible rape,,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,1,1,Female
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Robbery,,0,0,14,9,10,18,19,8,9,8,2,2,3,17,12,5,5,1,6,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,14,64,24,Female
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Aggravated assault,,0,2,8,8,10,14,9,6,8,16,8,8,21,56,31,23,12,20,9,4,5,4,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,10,47,61,Female
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Burglary-breaking or entering,,0,1,3,1,0,7,1,4,2,2,2,5,3,9,6,3,1,2,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,4,13,14,Female
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Larceny-theft (not motor vehicles),,0,12,58,85,122,117,129,118,99,84,81,67,80,268,199,162,163,177,132,86,54,23,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,70,571,411,Female
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Motor vehicle theft,,0,1,24,51,59,78,73,47,49,24,30,18,25,75,27,22,17,11,2,4,1,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,25,308,146,Female
